date,ticker,signal
2025-11-17,TSLA,BUY
2025-11-19,JPM,BUY
2025-11-19,V,BUY
2025-11-19,MA,BUY
2025-11-19,AXP,BUY
2025-11-19,GE,BUY
2025-11-20,CRM,BUY
2025-11-20,WMT,BUY
2025-11-20,COST,BUY
2025-11-21,GOOGL,BUY
2025-11-21,BAC,BUY
2025-11-21,MS,BUY
2025-11-21,C,BUY
2025-11-21,WFC,BUY
2025-11-21,HD,BUY
2025-11-21,DIS,BUY
2025-11-24,META,BUY
2025-11-24,AMD,BUY
2025-11-24,PFE,BUY
2025-11-24,GE,BUY
2025-11-26,UNH,BUY
2025-11-26,BA,BUY
2025-12-19,CRM,BUY
2025-12-24,NKE,BUY
2026-01-20,ABBV,BUY
2026-01-20,AMGN,BUY
2026-01-26,AAPL,BUY
2026-01-26,GE,BUY
2026-01-27,ABT,BUY
2026-01-28,UNH,BUY
2026-02-04,MSFT,BUY
2026-02-04,AMD,SELL
2026-02-04,NKE,BUY
2026-02-04,DIS,BUY
2026-02-05,ABT,BUY
2026-02-06,MSFT,BUY
2026-02-06,NVDA,BUY
2026-02-06,TSLA,BUY
2026-02-06,MS,BUY
2026-02-06,UNH,BUY
2026-02-06,ABT,BUY
2026-02-09,MSFT,BUY
2026-02-09,TMO,BUY
2026-02-11,TSLA,BUY
2026-02-13,AMZN,BUY
2026-02-13,MS,BUY
2026-02-13,UNH,BUY
2026-02-13,DIS,BUY
2026-02-17,V,BUY
2026-02-17,AXP,BUY
2026-02-18,GOOGL,BUY
2026-02-18,AMZN,BUY
2026-02-20,CRM,BUY
2026-02-20,GE,BUY
2026-02-23,TMO,BUY
2026-02-24,MSFT,BUY
2026-02-24,CRM,BUY
2026-02-24,MS,BUY
2026-02-24,MA,BUY
2026-02-25,MSFT,BUY
2026-02-25,AMZN,BUY
2026-02-25,TSLA,BUY
2026-02-25,AXP,BUY
2026-02-26,TMO,BUY
2026-02-26,DIS,BUY
2026-03-02,V,BUY
2026-03-02,WFC,BUY
2026-03-02,RTX,BUY
