date,equity
2025-11-26,101134.36558027088
2025-11-28,101672.2680857396
2025-12-01,101599.07692907435
2025-12-02,101599.07692907435
2025-12-03,101599.07692907435
2025-12-04,101583.83960624255
2025-12-05,101656.63807389923
2025-12-08,101749.38660504587
2025-12-09,101774.53064380531
2025-12-10,101384.38105291675
2025-12-11,101460.49539176625
2025-12-12,101093.06257043121
2025-12-15,101354.87786471914
2025-12-16,101128.77173524207
2025-12-17,101128.77173524207
2025-12-18,101113.60494643761
2025-12-19,101737.04808435781
2025-12-22,101811.96181625305
2025-12-23,101793.2478350934
2025-12-24,101793.2478350934
2025-12-26,101793.2478350934
2025-12-29,101793.2478350934
2025-12-30,101793.2478350934
2025-12-31,101793.2478350934
2026-01-02,101762.7149478617
2026-01-05,101840.04913336418
2026-01-06,102632.89670728543
2026-01-07,101363.8239504168
2026-01-08,100794.87587604532
2026-01-09,101378.31375001541
2026-01-12,101075.50381415282
2026-01-13,101075.50381415282
2026-01-14,101075.50381415282
2026-01-15,101075.50381415282
2026-01-16,101075.50381415282
2026-01-20,101075.50381415282
2026-01-21,100954.23341457412
2026-01-22,102245.68627244562
2026-01-23,102078.80855858747
2026-01-26,102539.48599848393
2026-01-27,102539.48599848393
2026-01-28,102539.48599848393
2026-01-29,102539.48599848393
2026-01-30,102539.48599848393
2026-02-02,102539.48599848393
2026-02-03,102539.48599848393
2026-02-04,102416.45911293413
2026-02-05,101031.55861016772
2026-02-06,103064.86370749222
2026-02-09,102527.98565617285
2026-02-10,102537.78730339237
2026-02-11,102380.2355102154
2026-02-12,102321.76627002281
2026-02-13,102304.42369877924
2026-02-17,102149.52906279317
2026-02-18,102214.79089073559
2026-02-19,102066.02630456416
2026-02-20,102220.53121241026
2026-02-23,100605.43207030246
2026-02-24,101003.79818872812
2026-02-25,101347.66130980512
2026-02-26,101347.66130980512
2026-02-27,101347.66130980512
2026-03-02,101317.2620762628
